Fund_Name,CIK,Series_CIK
Franklin Global Allocation Fund,0000837274,S000007241
Columbia Flexible Capital Income Fund,0001352280,S000033329
Archer Income Fund,0001477491,S000030455
American Funds Global Insight Fund,0001785347,S000066952
American Funds International Vantage Fund,0001785336,S000066950
Capital Group US Equity Fund,,
Calamos Total Return Bond Fund,0000826732,S000017871
GoodHaven Fund,0000811030,S000053207
Franklin Growth Allocation Fund,0000933691,S000007242
Franklin Moderate Allocation Fund,0001022804,S000007243
Franklin LifeSmart 2045 Retirement Target Fund,0001022804,S000012940
DWS High Income Fund,0000912035,S000031157
DFA Investment Grade Portfolio,0000355437,S000031490
DoubleLine Core Fixed Income Fund,0000933691,S000028164
Hartford Emerging Markets Equity Fund,0001006415,S000054853
Hartford World Bond Fund,0001006415,S000032811
GMO Asset Allocation Bond Fund,0000772129,S000025199
Franklin Multi-Asset Variable Conservative Growth Fund,,
Franklin Multi-Asset Variable Moderate Growth Fund,,
Franklin Multi-Asset Variable Growth Fund,,
GuideStone Medium Duration Bond Fund,0001131013,S000001155
Advisors Inner Circle - Cambiar SMID Fund,0000878719,S000032898
Invesco Select Risk: Moderately Conservative Investor Fund,0000202032,S000011250
Invesco Government Money Market Fund,0000205007,S000000253
Archer Stock Fund,0001477491,S000030456
LKCM Funds - Small Mid Cap Equity Fund,0000918942,S000032022
Matthews China Small Companies Fund,0000923184,S000040797
Copeland Risk Managed Dividend Growth Fund,0001502745,S000039172
Fidelity Small Cap Index Fund,0000035315,S000019928
Neuberger Berman Floating Rate Income Fund,0000723620,S000027216
Janus Henderson Flexible Bond Fund,0000277751,S000010492
Pacific Funds Core Income,0001137761,S000030505
MFS International Diversification Fund,0000783740,S000002515
Hartford Checks & Balances Fund,,
Hartford Moderate Allocation Fund,0001006415,S000003593
American Century Global Real Estate Fund,0000908186,S000031879
Empower Large Cap Value Fund,0000356476,S000032956
Pioneer Active Credit Fund,0002042316,S000031914
Destra Flaherty & Crumrine Preferred & Income Fund,,
Macquarie Global Bond Fund,0000883622,S000024837
Northern Lights Fund Trust-Toews Tactical Income Fund,0001314414,S000027930
GuidePath Growth Allocation Fund,0001504079,S000030981
Touchstone Funds Group Trust - Active Bond Fund,0000914243,S000056166
Touchstone Funds Group Trust - High Yield Fund,0000914243,S000056167
VALIC Company I - Core Bond Fund,,
Victory INCORE Fund for Income,0000802716,S000000792
Donoghue Forlines Tactical Income Fund,0001314414,S000029686
GuidePath Conservative Allocation Fund,0001504079,S000030982
Direxion Monthly 7-10 Year Treasury Bull 1.75X Fund,0001040587,S000007025
RiverNorth DoubleLine Strategic Income Fund,0001370177,S000030798
iShares MSCI Total International Index Fund,0000893818,S000033188
Wasatch Emerging India Fund,0000806633,S000031426
Russell Investment Co. - Global Opportunistic Credit Fund,,
Rydex High Yield Strategy Fund,0001064046,S000015881
Guggenheim High Yield Fund,0000088498,S000043987
SAAT Defensive Strategy Fund,0001003632,S000005816
Highland Income Fund,0000891079,S000015817
Transamerica Asset Allocation - Short Horizon,0001004784,S000008660
PGIM Floating Rate Income Fund,0000717819,S000031692
AB Emerging Markets Multi Asset Portfolio,0000081443,S000033729
Columbia Acorn European Fund,0000002110,S000033621
MainStay Equity Allocation Fund,,
Victory Integrity Small/Mid Cap Value Fund,,
Victory Integrity Mid Cap Value Fund,0000802716,S000046397
EIC Value Fund,0001388485,S000031985
WCM Focused International Growth Fund,0001318342,S000032897
AMG Beutel Goodman Core Plus Bond Fund,0000912036,S000033266
Lord Abbett Growth Leaders Fund,0000898031,S000032915
Nuance Concentrated Value Fund,0001511699,S000031968
JPMorgan Global Allocation Fund,0001217286,S000044434
Fidelity Emerging Markets Index Fund,0000035315,S000033635
Fidelity Global (ex-US) Index Fund,,
Fidelity Mid Cap Index Fund,0000035315,S000019927
Fidelity Real Estate Index Fund,0000035315,S000056359
Driehaus Mutual Funds - Emerging Markets Small Cap Growth Fund,0001016073,S000032990
Virtus Global Allocation Fund,0001423227,S000025374
Boston Trust Walden Midcap Fund,0000882748,S000033434
American Funds 2050 Target Date Retirement Fund,0001380175,S000015563
Ashmore Emerging Markets Equity Fund,0001498498,S000055437
DFA Global Real Estate Securities Portfolio,0000355437,S000021884
PIMCO All Asset Fund,0000810893,S000009675
Putnam RetirementReady 2025 Fund,,
Putnam RetirementReady 2030 Fund,,
Putnam RetirementReady 2035 Fund,,
Putnam RetirementReady 2040 Fund,,
Putnam RetirementReady 2045 Fund,,
Putnam RetirementReady 2050 Fund,,
Voya Global Bond Portfolio,0001039001,S000007598
Allspring Asset Allocation Fund,0001081402,S000029123
GMO Global Asset Allocation Fund,0000772129,S000035217
GMO Strategic Opportunities Allocation Fund,0000772129,S000005489
GMO Benchmark Free Allocation Fund,0000772129,S000035218
Principal Investors - Small Mid Cap Dividend Income Fund,,
GMO Global Developed Equity Allocation Fund,0000772129,S000005490
BlackRock Advantage Emerging Markets Fund,0000844779,S000033603
Mairs & Power Small Cap Fund,,
Bridgeway Omni Small Cap Value Fund,0000916006,S000033567
Voya Index Solution 2030 Portfolio,0001039001,S000034117
Voya Solution 2030 Portfolio,0001039001,S000034117
Voya Solution 2040 Portfolio,0001039001,S000034118
Voya Index Solution 2040 Portfolio,0001039001,S000034118
Voya Index Solution 2050 Portfolio,0001039001,S000034119
Voya Solution 2050 Portfolio,0001039001,S000034119
Voya Solution 2055 Portfolio,0001039001,S000026397
Tarkio Fund,0001506980,S000031478
Voya Solution 2025 Portfolio,0001039001,S000021226
Voya Solution 2035 Portfolio,0001039001,S000021227
Voya Solution 2045 Portfolio,0001039001,S000021228
Voya Solution Income Portfolio,0001039001,S000021229
Voya Solution Conservative Portfolio,0001039001,S000028590
Voya Solution Balanced Portfolio,0001039001,S000018039
Eaton Vance Focused Growth Opportunities Fund,0000102816,S000031537
Eaton Vance Focused Value Opportunities Fund,0000102816,S000031538
American Century One Choice 2025 Portfolio,0001293210,S000005391
American Century One Choice 2030 Portfolio,0001293210,S000022361
American Century One Choice 2035 Portfolio,0001293210,S000005392
American Century One Choice 2040 Portfolio,0001293210,S000022362
American Century One Choice 2045 Portfolio,0001293210,S000005393
American Century One Choice 2050 Portfolio,0001293210,S000022363
American Century One Choice 2055 Portfolio,0001293210,S000031554
Voya Retirement Moderate Growth Portfolio,0000837276,S000026282
Voya Retirement Moderate Portfolio,0000837276,S000026282
Voya Retirement Conservative Portfolio,0000837276,S000026280
American Century One Choice In Retirement Portfolio,0001293210,S000005394
Ashmore Emerging Markets Small Cap Equity Fund,0001498498,S000033753
Ashmore Emerging Markets Total Return Fund,0001498498,S000030390
American Century One Choice Portfolio-Aggressive,0001293210,S000005396
American Century One Choice Portfolio-Conservative,0001293210,S000005398
American Century One Choice Portfolio-Moderate,0001293210,S000005397
American Century One Choice Portfolio-Very Conservative,0001293210,S000005390
DF Dent Mid Cap Growth Fund,,
William Blair Emerging Markets Small Cap Growth Fund,0000822632,S000034349
Fidelity Inv. Trust - Emerging Markets Discovery Fund,,
Tortoise Energy Infrastructure Total Return Fund,0001511699,S000031970
Global Multi Strategy Fund,0000898745,S000033960
Lord Abbett Alpha Strategy Fund,0000898031,S000007139
Lord Abbett Invt. Tr. - Multi Asset Balanced Opportunity Fund,,
Lord Abbett Multi Asset Income Fund,0000911507,S000007283
Saratoga Adv. Trust - Municipal Bond Portfolio,,
GuideStone Defensive Market Strategies Fund,0001131013,S000033730
DoubleLine Emerging Markets Fixed Income Fund,0000933691,S000028165
Rational Strategic Allocation Fund,0000810695,S000026200
Catalyst Insider Buying Fund,0001355064,S000029495
Catalyst/MAP Global Equity Fund,,
Catalyst/MAP Global Total Return Income Fund,,
DWS RREEF Real Assets Fund,0000095603,S000032019
John Hancock Multimanager Lifestyle Balanced Portfolio,0001331971,S000003337
John Hancock Multimanager Lifestyle Conservative Portfolio,0001331971,S000003338
John Hancock Multimanager Lifestyle Moderate Portfolio,0001331971,S000003342
John Hancock II - Multimanager 2050 Lifetime Portfolio,0001331971,S000013659
John Hancock Multimanager 2035 Lifetime Portfolio,0001331971,S000013656
John Hancock Multimanager 2030 Lifetime Portfolio,0001331971,S000013655
John Hancock Multimanager 2040 Lifetime Portfolio,0001331971,S000013657
Goldman Sachs Growth Strategy Portfolio,0000822977,S000009325
John Hancock II - Multimanager 2045 Lifetime Portfolio,0001331971,S000013658
Goldman Sachs Dynamic Global Equity Fund,0000822977,S000009338
Goldman Sachs Balanced Strategy Portfolio,0000822977,S000009314
Goldman Sachs Growth & Income Strategy Portfolio,,
Putnam RetirementReady Maturity Fund,,
Putnam Floating Rate Income Fund,0001005942,S000000773
Janus Henderson Small Mid Cap Value Fund,0000277751,S000035097
American Funds 2010 Target Date Retirement Fund,0001380175,S000015555
American Funds 2015 Target Date Retirement Fund,0001380175,S000015556
American Funds 2020 Target Date Retirement Fund,0001380175,S000015557
American Funds 2025 Target Date Retirement Fund,0001380175,S000015558
American Funds 2040 Target Date Retirement Fund,0001380175,S000015561
Northeast Investors Trust,0000072760,S000011440
DFA Global Equity Portfolio,0000355437,S000066958
GMO International Developed Equity Allocation Fund,0000772129,S000041748
American Funds 2030 Target Date Retirement Fund,0001380175,S000015559
American Funds 2035 Target Date Retirement Fund,0001380175,S000015560
American Funds 2045 Target Date Retirement Fund,0001380175,S000015562
American Funds 2055 Target Date Retirement Fund,0001380175,S000027236
MFS Global New Discovery Fund,0000063068,S000035048
BlackRock Commodity Strategies Fund,0000844779,S000002721
DFA Global 25/75 Portfolio,,
DFA Global Allocation 60/40 Portfolio,,
Putnam RetirementReady 2055 Fund,,
Ranger Small Cap Fund,0001524348,S000033849
Causeway International Opportunities Fund,0001156906,S000027244
Ariel International Fund,0000798365,S000035291
Ariel Global Fund,0000798365,S000035292
DFA World (ex-US) Value Portfolio,,
Boston Trust SMID Cap Fund,0000882748,S000034664
Vanguard Target Retirement 2060 Fund,0000752177,S000049260
13D Activist Fund,0001314414,S000029185
Dunham Focused Large Cap Growth Fund,0001420040,S000034854
Transamerica Small Cap Value,0000778207,S000039596
Horizon Active Asset Allocation Fund,0001643174,S000035806
Advisors Series Trust - Scharf Fund,0001027596,S000039497
Invesco Multi Asset Income Fund,0001378872,S000035024
AB Select US Equity Portfolio,0000081443,S000034947
Hundredfold Select Alternative Fund,0001518042,S000065875
John Hancock US Growth Fund,,
Commonwealth Africa Fund,0000793601,S000034335
American Beacon Bridgeway Large Cap Value Fund,,
American Beacon Stephens Mid Cap Growth Fund,0000809593,S000035896
American Beacon Stephens Small Cap Growth Fund,0000809593,S000035895
Neuberger Berman Municipal Intermediate Bond Fund,0000723620,S000007833
William Blair Funds - Small-Mid Cap Value Fund,0000822632,S000080810
John Hancock Multimanager 2025 Lifetime Portfolio,0001331971,S000013654
Voya Multi Manager Emerging Markets Equity Fund,0000895430,S000034101
Voya Emerging Markets Index Portfolio,0001015965,S000034879
Towle Deep Value Fund,,
Meeder Tactical Income Fund,0000702435,S000032099
Eaton Vance Richard Bernstein All Asset Strategy Fund,,
Centre American Select Equity Fund,0001643174,S000035644
Carillon Chartwell Small Cap Value Fund,0000897111,S000075964
Brookfield Global Listed Infrastructure Fund,0001520738,S000033448
Brookfield Global Listed Real Estate Fund,0001520738,S000033449
Grandeur Peak Global Opportunities Fund,0001965454,S000033955
Grandeur Peak International Opportunities Fund,0001965454,S000033956
Cohen & Steers Real Assets Fund,,
Keeley Mid Cap Dividend Value Fund,0001324203,S000034099
Fidelity Strategic Advisers Short Duration Fund,0001364924,S000035122
Eaton Vance Atlanta Capital Select Equity Fund,0000102816,S000035208
John Hancock VIT - Lifestyle Balanced Portfolio,,
John Hancock VIT - Lifestyle Conservative Portfolio,,
John Hancock VIT - Lifestyle Growth Portfolio,,
GuidePath Absolute Return Allocation Fund,0001504079,S000030984
GuidePath Tactical Allocation Fund,0001504079,S000030983
John Hancock VIT - Lifestyle Moderate Portfolio,,
John Hancock VIT - Managed Volatility Balanced Portfolio,,
John Hancock VIT - Managed Volatility Conservative Portfolio,,
John Hancock VIT - Managed Volatility Moderate Portfolio,,
John Hancock VIT - Managed Volatility Growth Portfolio,,
GMO International Equity Allocation Fund,0000772129,S000041748
GuideStone Growth Allocation Fund,0001131013,S000001163
Hirtle Callaghan Corporate Securities Portfolio,,
GuideStone Conservative Allocation Fund,0001131013,S000001153
GuideStone Aggressive Allocation Fund,0001131013,S000001164
GuideStone Balanced Allocation Fund,0001131013,S000001162
Nuveen Real Asset Income Fund,0000820892,S000033768
Ironclad Managed Risk Fund,0001318342,S000030132
GuideStone MyDestination 2045 Fund,0001131013,S000014480
GuideStone MyDestination 2015 Fund,0001131013,S000014477
GuideStone MyDestination 2025 Fund,0001131013,S000014478
GuideStone MyDestination 2035 Fund,0001131013,S000014479
Pacific Funds High Income,0001137761,S000034880
Pacific Funds Strategic Income,0001137761,S000034882
Pacific Funds Floating Rate Income,0001137761,S000033079
Victory Pioneer Solutions - Balanced Fund,0002042316,S000089754
SAAT Aggressive Strategy Fund,0001003632,S000005808
SAAT Conservative Strategy Fund,0001003632,S000005814
SAAT Conservative Strategy Allocation Fund,0001003632,S000005814
Pioneer Multi Asset Income Fund,0002042316,S000035110
Financial Investors Trust-Disciplined Growth Investors Fund,0000915802,S000033265
SAAT Core Market Strategy Fund,0001003632,S000005815
John Hancock Multi-Asset Absolute Return Fund,0001331971,S000035066
Advisers Invst. Trust-Independent Franchise Partners US Eqty.,,
GMO Global Equity Allocation Fund,0000772129,S000035216
Janus Henderson Global Allocation Fund - Conservative,0000277751,S000010483
Janus Henderson Global Allocation Fund - Growth,0000277751,S000010481
Janus Henderson Global Allocation Fund - Moderate,0000277751,S000010482
Northern Lights Fund Trust II - North Star Opportunity Fund,0001518042,S000034503
ProFunds - Precious Metals UltraSector,0001039803,S000003094
Astor Sector Allocation Fund,0001314414,S000032694
Baillie Gifford Global Alpha Equities Fund,0001120543,S000026149
Brandes International Small Cap Equity Fund,0001806095,S000035894
Catalyst Dynamic Alpha Fund,0001355064,S000035242
Free Market International Equity Fund,0000831114,S000018556
Free Market US Equity Fund,,
GuideStone MyDestination 2055 Fund,0001131013,S000035302
Wasatch Frontier Emerging Small Countries Fund,0000806633,S000035891
JAG Large Cap Growth Fund,0001355064,S000035241
JPMorgan SmartRetirement 2055 Fund,0001217286,S000035832
PGIM Jennison Global Opportunities Fund,0000741350,S000073505
Guggenheim Floating Rate Strategies Fund,0000088498,S000043986
Ocean Park Tactical All Asset Fund,0001314414,S000020016
Vericimetry US Small Cap Value Fund,,
SAAT Defensive Strategy Allocation Fund,0001003632,S000005816
SAAT Market Growth Strategy Allocation Fund,0001003632,S000005817
SAAT Market Growth Strategy Fund,0001003632,S000005817
SAAT Moderate Strategy Fund,0001003632,S000005818
SEI Institutional Invt. Trust - Dynamic Asset Allocation Fund,,
SMI Multi-Strategy Fund,0001437249,S000039947
Transamerica Asset Allocation - Intermediate Horizon,0001004784,S000008661
PIMCO Dividend & Income Fund,,
Transamerica Asset Allocation - Moderate Portfolio,0000787623,S000007807
Timothy Plan - Israel Common Values Fund,0000916490,S000033751
Transamerica Asset Allocation - Moderate Growth Portfolio,0000787623,S000007807
Transamerica Asset Allocation - Conservative Portfolio,0000787623,S000007800
Madison Conservative Allocation Fund,0001040612,S000020660
Madison Moderate Allocation Fund,0001040612,S000020661
VALIC Company I - Conservative Growth Lifestyle Fund,,
Angel Oak Multi Strategy Income Fund,0001437249,S000048360
PIMCO Credit Opportunities Bond Fund,0000810893,S000033596
JPMorgan Floating Rate Income Fund,0001217286,S000032548
Wilmington Global Alpha Equities Fund,0000830744,S000055895
Goldman Sachs Rising Dividend Growth Fund,0000822977,S000053347
Neuberger Berman Long Short Fund,0001317474,S000045170
Voya Global Income & Growth Fund,,
Northern Lights Fund Trust II - Dynamic US Opportunity Fund,,
Northern Lights Fund Trust II - Dynamic Intl. Opportunity Fund,,
Nuveen Lifestyle Aggressive Growth Fund,0001084380,S000034958
Nuveen Lifestyle Growth Fund,0001084380,S000034958
Nuveen Lifestyle Conservative Fund,0001084380,S000034959
Toews Hedged U.S. Opportunity Fund,0001314414,S000027932
Nuveen Lifestyle Moderate Fund,0001084380,S000034962
Nuveen Lifestyle Income Fund,0001084380,S000034961
Nuveen Lifecycle Index 2055 Fund,0001084380,S000031926
SAAT Core Market Strategy Allocation Fund,0001003632,S000005815
SAAT Moderate Strategy Allocation Fund,0001003632,S000005818
SEI Institutional Invt. Trust - Multi Asset Real Return Fund,,
"Principal Funds, Inc. - LifeTime 2015 Fund",0000898745,S000022103
Principal LifeTime 2025 Fund,0000898745,S000022104
"Principal Funds, Inc. - LifeTime 2035 Fund",0000898745,S000022105
"Principal Funds, Inc. - LifeTime 2045 Fund",0000898745,S000022106
"Principal Funds, Inc. - LifeTime 2055 Fund",0000898745,S000022107
FAM Small Cap Fund,0000797136,S000035925
JPMorgan International Focus Fund,0001217286,S000034585
Voya Multi Manager Mid Cap Value Fund,0001063946,S000034091
Altegris Futures Evolution Strategy Fund,0001314414,S000085741
Robeco Boston Partners Global Equity Fund,,
SouthernSun US Equity Fund,,
Ocean Park Tactical Core Income Fund,0001314414,S000035209
Touchstone Strategic Trust - Focused Fund,0000711080,S000035683
Touchstone Strategic Trust - Value Fund,0000711080,S000006450
Baird Equity Opportunity Fund,0001282693,S000036810
RiverPark Long/Short Opportunity Fund,,
Hamlin High Dividend Equity Fund,0000878719,S000036634
SA International Small Company Fund,0001075065,S000008781
Frontier MFG Core Infrastructure Fund,0001014913,S000035417
PIMCO CommoditiesPLUS Strategy Fund,0000810893,S000044967
Empower Lifetime 2015 Fund,0000356476,S000025509
Empower Lifetime 2025 Fund,0000356476,S000025512
Empower Lifetime 2035 Fund,0000356476,S000025515
Saturna Investment Trust - Sextant Global High Income Fund,0000811860,S000036646
Emerald Finance & Banking Innovation Fund,,
GMO Resources Fund,0000772129,S000059788
Empower Lifetime 2045 Fund,0000356476,S000025504
Empower Lifetime 2055 Fund,0000356476,S000025507
Baron Global Advantage Fund,0001217673,S000036767
SEI Institutional Invt. Trust - Small Cap II Fund,,
Allspring Emerging Markets Equity Advantage Fund,0001081400,S000037204
Mutual of America Invt. Corp. - 2015 Retirement Fund,,
Mutual of America Invt. Corp. - 2020 Retirement Fund,,
Mutual of America Invt. Corp. - 2025 Retirement Fund,,
Mutual of America Invt. Corp. - 2030 Retirement Fund,,
Mutual of America Invt. Corp. - 2035 Retirement Fund,,
Mutual of America Invt. Corp. - 2040 Retirement Fund,,
Mutual of America Invt. Corp. - 2045 Retirement Fund,,
Multi-Manager Growth Strategies Fund,0000773757,S000036204
Columbia Multi Manager Alternative Strategies Fund,0000773757,S000036207
Columbia Multi Manager Small Cap Equity Strategies Fund,0000773757,S000036206
Columbia Multi Manager Value Strategies Fund,0001352280,S000036208
PGIM Jennison International Opportunities Fund,0000741350,S000073504
North Square Trilogy Alternative Return Fund,,
MassMutual 20/80 Allocation Fund,,
MassMutual 40/60 Allocation Fund,,
MassMutual 60/40 Allocation Fund,,
First Eagle Global Income Builder Fund,0000906352,S000035750
MassMutual 80/20 Allocation Fund,,
American Funds Moderate Growth & Income Portfolio,,
American Funds Global Growth Portfolio,0000837276,S000048970
American Funds Growth & Income Portfolio,,
Columbia Adaptive Risk Allocation Fund,0000773757,S000037262
Emerald Growth Fund,0000915802,S000036390
Seafarer Overseas Growth & Income Fund,,
Integrity Dividend Harvest Fund,0000893730,S000036848
AQR Large Cap Defensive Style Fund,0000353905,S000037429
AQR International Defensive Style Fund,0001444822,S000037430
Principal Investors - Blue Chip Fund,,
American Beacon London Company Income Equity Fund,0000809593,S000037191
Vaughan Nelson Select Fund,0000052136,S000037523
Fidelity Inv. Trust - Global Equity Income Fund,,
American Funds Growth Portfolio,0000837276,S000061662
American Funds Conservative Growth & Income Portfolio,,
SGI US Large Cap Equity Fund,,
American Funds Preservation Portfolio,0001537151,S000036463
American Funds Tax Aware Consv. Growth & Incm. Port.,,
American Funds Tax Exempt Preservation Portfolio,0001537151,S000036462
Brown Advisory Sustainable Growth Fund,0001548609,S000037789
Boston Trust Walden SMID Cap Fund,0000882748,S000034665
GMO Implementation Fund,0000772129,S000049860
AAM/Bahl & Gaynor Income Growth Fund,,
Nuveen Global Dividend Growth Fund,0001041673,S000037309
William Blair International Leaders Fund,0000822632,S000001723
Russell Investment Co. - US Strategic Equity Fund,,
Managers AMG Yacktman Focused Fund,,
Managers AMG Yacktman Fund,,
Rydex Inverse Mid Cap Strategy Fund,0001064046,S000003771
Rydex Inverse Russell 2000 Strategy Fund,0001064046,S000012143
Mercer Emerging Markets Equity Fund,0001320615,S000034610
Invt. Managers Ser. Tr. II - First Trust Multi-Strategy Fund,,
Boston Common ESG Impact US Equity Fund,,
SEI Institutional Managed Trust - Multi Asset Accumulation Fd.,,
SEI Institutional Managed Trust-Multi Asset Capital Stability,0000804239,S000035782
SEI Institutional Managed Trust-Multi Asset Inflation Managed,0000804239,S000035781
Virtus KAR International Small-Mid Cap Fund,0001005020,S000038118
Janus Henderson Responsible International Dividend Fund,0000277751,S000057607
Transamerica Small Cap Growth Fund,,
LK Balanced Fund,0001511699,S000037522
USAA Cornerstone Aggressive Fund,0000908695,S000037226
Swan Defined Risk Fund,0001537140,S000047421
USAA Cornerstone Moderately Conservative Fund,0000908695,S000037225
USAA Cornerstone Conservative Fund,0000908695,S000037224
USAA Cornerstone Equity Fund,0000908695,S000037227
T Rowe Price Global Value Equity Fund,0000852254,S000037806
Allspring Absolute Return Fund,0001081400,S000036117
Morgan Stanley Instl. Fund-Frontier Emerging Markets Port.,,
John Hancock VIT - Strategic Equity Allocation Trust,,
MH Elite Select Portfolio of Funds,0001054816,S000012513
MH Elite Income Fund of Funds,0001054816,S000034218
RMB Small Cap Fund,0000030126,S000060193
DF Dent Small Cap Growth Fund,0000315774,S000037552
Catalyst Nasdaq-100 Hedged Equity Fund,0001355064,S000036625
JPMorgan SmartRetirement Blend 2020 Fund,0001217286,S000037364
JPMorgan SmartRetirement Blend 2025 Fund,0001217286,S000037365
JPMorgan SmartRetirement Blend 2030 Fund,0001217286,S000037366
JPMorgan SmartRetirement Blend 2035 Fund,0001217286,S000037367
JPMorgan SmartRetirement Blend 2040 Fund,0001217286,S000037368
JPMorgan SmartRetirement Blend 2045 Fund,0001217286,S000037369
JPMorgan SmartRetirement Blend 2050 Fund,0001217286,S000037370
JPMorgan SmartRetirement Blend 2055 Fund,0001217286,S000037360
JPMorgan SmartRetirement Blend Income Fund,0001217286,S000037359
Nuveen International Dividend Growth Fund,0001041673,S000037310
Cullen Emerging Markets High Dividend Fund,0001109957,S000038162
Cullen Value Fund,0001109957,S000026472
Allspring Index Fund,0001081402,S000007370
Gotham Absolute Return Fund,0001388485,S000038174
American Funds College 2030 Fund,0001547011,S000037534
American Funds College 2027 Fund,0001547011,S000037535
Westwood Salient MLP & Energy Infrastructure Fund,,
American Funds College Enrollment Fund,0001547011,S000037540
Touchstone Strategic Trust - Flexible Income Fund,0000711080,S000038009
DFA US Large Company Portfolio,,
Northern Multi Manager Global Listed Infrastructure Fund,0000916620,S000037667
MFS Equity Income Fund,0000318874,S000038342
Cromwell Marketfield L/S Fund,,
Timber Point Global Tactical Allocation Fund,,
Fiera Capital Series Trust - Small/Mid Cap Growth Fund,,
Nuveen Managed Allocation Fund,0001084380,S000012194
Nuveen Lifecycle Index Retirement Income Fund,0001084380,S000026499
Reinhart Mid Cap Private Market Value Fund,,
MFS Lifetime 2025 Fund,0001330967,S000038773
MFS Lifetime 2035 Fund,0001330967,S000038774
MFS Lifetime 2045 Fund,0001330967,S000038775
MFS Lifetime 2055 Fund,0001330967,S000038776
"Principal Funds, Inc. - Opportunistic Municipal Fund",0000898745,S000037379
GMO Benchmark Free Fund,0000772129,S000035218
Calvert Emerging Markets Equity Fund,0000884110,S000038363
DFA International Social Core Equity Portfolio,0000355437,S000018397
Eagle Energy Infrastructure Fund,0001314414,S000036854
Matisse Discounted Closed End Fund Strategy,0001464413,S000038548
Hennessy Focus Fund,0000891944,S000038529
Hennessy Large Cap Financial Fund,0000891944,S000038530
Hennessy Small Cap Financial Fund,0000891944,S000038531
Hennessy Technology Fund,0000891944,S000038532
Hennessy Gas Utility Fund,0000891944,S000038533
Hennessy Equity & Income Fund,,
Nationwide Global Sustainable Equity Fund,0001048702,S000037455
Mutual of America Invt. Corp. - 2050 Retirement Fund,,
MoA Retirement Income Fund,0000795259,S000017196
State Street Equity 500 Index Fund,0001107414,S000010695
Great West Conservative Profile Fund,0000356476,S000023748
Crawford Small Cap Dividend Fund,0001199046,S000038330
Victory Market Neutral Income Fund,0001547580,S000037769
Empower Moderately Conservative Profile Fund,0000356476,S000023753
Empower Moderate Profile Fund,0000356476,S000023752
Empower SecureFoundation Balanced Fund,0000356476,S000033818
Great-West SecureFoundation Balanced ETF Fund,,
Congress Mid Cap Growth Fund,0000811030,S000038711
DFA World (ex-US) Targeted Value Portfolio,,
Voya Strategic Income Opportunities Fund,0001066602,S000038555
JOHCM Emerging Markets Opportunities Fund,0001365151,S000042238
GuidePath Multi Asset Income Allocation Fund,0001504079,S000037698
GuidePath Flexible Income Allocation Fund,0001504079,S000037700
Nuveen Lifecycle 2055 Fund,0001084380,S000031927
Timothy Plan - Conservative Growth Fund,0000916490,S000004485
Timothy Plan - Strategic Growth Fund,0000916490,S000004484
Catalyst/Lyons Tactical Allocation Fund,,
Virtus NFJ Emerging Markets Value Fund,0001423227,S000038497
BlackRock Real Estate Securities Fund,0000844779,S000038448
Muzinich Credit Opportunities Fund,0000811030,S000036430
Nationwide Core Plus Bond Fund,0000353905,S000039094
City National Rochdale US Core Equity Fund,,
Versus Capital Multi Manager Real Estate Income Fund LLC,,
Brown Advisory Emerging Markets Select Fund,0001548609,S000039101
Wasatch Emerging Markets Select Fund,0000806633,S000038937
Aspiriant Risk-Managed Equity Allocation Fund,0001534881,S000036290
Hotchkis & Wiley Global Value Fund,,
Legg Mason ClearBridge Select Fund,0000880366,S000039065
RiverNorth/Oaktree High Income Fund,,
Persimmon Long/Short Fund,,
Longleaf Partners Global Fund,0000806636,S000038187
Riverbridge Growth Fund,0001318342,S000039554
Buffalo Growth & Income Fund,,
Lyrical US Value Equity Fund,,
Rydex Commodities Strategy Fund,0001064046,S000003774
Voya Target Retirement 2025 Fund,0001392116,S000039453
Voya Target Retirement 2050 Fund,0001392116,S000039458
Voya Target Retirement 2030 Fund,0001392116,S000039454
Voya Target Retirement 2055 Fund,0001392116,S000039459
Voya Target Retirement 2035 Fund,0001392116,S000039455
Voya Target In-Retirement Fund,0001392116,S000039451
Voya Target Retirement 2040 Fund,0001392116,S000039456
Voya Target Retirement 2045 Fund,0001392116,S000039457
AB Select US Long/Short Portfolio,,
BlackRock Global Equity Market Neutral Fund,0000844779,S000039460
Eventide Healthcare & Life Sciences Fund,,
Ancora/Thelen Small Mid Cap Fund,,
Transamerica Sustainable Equity Income,0000778207,S000039595
Transamerica International Small Cap Value Fund,,
Huber Large Cap Value Fund,0001027596,S000039416
Advisors Series Trust - Scharf Multi-Asset Opportunity Fund,0001027596,S000039497
Schwab Target 2045 Fund,0000904333,S000039605
Schwab Target 2050 Fund,0000904333,S000039606
Schwab Target 2055 Fund,0000904333,S000039607
Fidelity Series Value Discovery Fund,0000035341,S000039216
Fidelity Series Intrinsic Opportunities Fund,0000081205,S000039222
Fidelity Series Large Cap Stock Fund,0000035348,S000039219
Fidelity Series Opportunistic Insights Fund,0000024238,S000039221
Fidelity Series Stock Selector Large Cap Value Fund,0000035341,S000039219
NYLI WMC Growth Fund,0001469192,S000039358
DFA World Core Equity Portfolio,0000355437,S000020997
DFA Selectively Hedged Global Equity Portfolio,0000355437,S000034541
BlackRock Advantage Large Cap Value Fund,0000355916,S000001975
